date,image_url,Category,Post No.,caption,posted,_to_post,_date_parsed,posted_at,instagram_media_id,error
2025-10-31,https://raw.githubusercontent.com/yogawithlisaai/yogawithlisa.instagram-poster/main/images/ig1.jpg,pose,1,"✨ Hi I’m Lisa!
A YogaAlliance-certified yoga teacher from Los Angeles now living in Berkeley, CA. 🧘🏾‍♀️💛

I teach pop-up classes in Berkeley, SF, and LA — schedule here:
📆 https://www.yogawithlisa.ai/yoga-inperson.html

Yoga in the City is a love letter to the places that inspire my flow and to the practice that helps me live, breathe, and party in them.🥰☀️

I’ve spent most of my adult life in the Bay — pursuing my PhD at UC Berkeley, working in biotech, and learning about love, loss, and self-discovery along the way.

Here are 3 ways yoga changed my life:

1. Yoga transformed my relationship with myself.
After heartbreak, injury, and losing a loved one, yoga became my way home.
Each pose helped me listen inward. Each breath rebuilt my confidence and softness.

2. Yoga regulated my nervous system.
The city moves fast. Yoga slows me down.
Through breathwork and grounding postures, I learned how to calm my physiology, unclench stress, and feel safe in my body again.

3. Yoga gave me community.
I practice and teach surrounded by family, friends, and neighbors — in studios, at parties, on rooftops, and over tea.
Yoga showed me that the goal isn’t to escape the city, but to stay grounded and authentic within it.

This page is a space for softness, strength, healing, and coming home to yourself — again and again. 💛

#yoga #yogawithlisa #Lisa #sanfrancisco #yogainthecity #health #training #evening #BayAreaYoga #yogainstructor #pilates #fitness #handstands #alo #alowellness #alowellness #aloyoga
",0,TRUE,,2025-11-13T14:56:03Z,18107213500556222,
2025-11-01,https://raw.githubusercontent.com/yogawithlisaai/yogawithlisa.instagram-poster/main/images/ig2.jpg,quote,2,"3 reasons I love living in the Bay:

1) The views — city lines, ocean air, bridges, boats, redwoods, rolling hills.
I can lose myself in the grand views of the Bay in the best way possible.

2) The access to opportunity — world-class schools, brilliant minds, emerging startups, and communities that push you to grow, dream, and reinvent yourself.

3) The ocean — my favorite teacher.
Blue spaces literally calm your physiology. Research shows that coastal environments lower cortisol, slow the heart rate, and activate the parasympathetic nervous system — your “rest and digest” mode.

The rhythm of the waves mirrors the rhythm of the breath: rise, fall, inhale, exhale.
The ocean teaches prāṇāyāma:
prāṇa (life force, breath)
āyāma (extension, regulation, expansion)

A reminder that peace isn’t something you chase — it’s something you breathe into.     #YogaWithLisa #YogaInTheCity #SanFranciscoYoga #BayAreaYoga #MindfulBreathing #Pranayama",0,TRUE,,2025-11-13T14:29:40Z,18066908597589435,
2025-11-02,https://raw.githubusercontent.com/yogawithlisaai/yogawithlisa.instagram-poster/main/images/ig3.jpg,city,3,"Sometimes healing doesn’t start with words.
It starts with breath.

Lion’s breath reminds us to release what we’ve been holding — the tension in our jaw, the weight on our heart, the stories we’ve outgrown.
It’s the sound of letting go.

Ujjayi breath, the ocean breath, calls us home.
Its rhythm mirrors the tide — steady, alive, infinite.
A reminder that even in chaos, we can find calm.

Yoga isn’t just about movement. It’s about regulation.
Breathwork rewires your nervous system, quiets your mind, and invites your body to remember safety again.

This is what it means to practice softness as strength.
To exhale the city noise and inhale your own peace.

Uj = to expand, conquer, or be victorious
Jaya = victory or triumph

So Ujjayi literally means “victorious breath.”

It’s sometimes called “the ocean breath” because of its soft, wave-like sound — steady and rhythmic, like the tide.

#YogaWithLisa #Pranayama #MindfulBreathing #YogaInTheCity #UjjayiBreath #LionsBreath #SoftnessIsStrength #BayAreaYoga #WellnessJourney ",0,TRUE,,2025-11-13T14:29:47Z,18123531970517534,
2025-11-03,https://raw.githubusercontent.com/yogawithlisaai/yogawithlisa.instagram-poster/main/images/ig4.jpg,city,4,,0,TRUE,,2025-11-13T14:29:54Z,17925422589154933,
2025-11-04,https://raw.githubusercontent.com/yogawithlisaai/yogawithlisa.instagram-poster/main/images/ig5.jpg,pose,5,,0,TRUE,,2025-11-13T14:56:09Z,17895841815202347,
2025-11-05,https://raw.githubusercontent.com/yogawithlisaai/yogawithlisa.instagram-poster/main/images/ig6.jpg,quote,6,,0,TRUE,,2025-11-13T14:56:14Z,18068725550340889,
2025-11-06,https://raw.githubusercontent.com/yogawithlisaai/yogawithlisa.instagram-poster/main/images/ig7.jpg,quote,7,,0,TRUE,,,,
2025-11-07,https://raw.githubusercontent.com/yogawithlisaai/yogawithlisa.instagram-poster/main/images/ig8.jpg,city,8,,0,TRUE,,,,
2025-11-08,https://raw.githubusercontent.com/yogawithlisaai/yogawithlisa.instagram-poster/main/images/ig9.jpg,pose,9,,0,TRUE,,,,
2025-11-09,https://raw.githubusercontent.com/yogawithlisaai/yogawithlisa.instagram-poster/main/images/ig10.jpg,pose,10,,0,TRUE,,,,
2025-11-10,https://raw.githubusercontent.com/yogawithlisaai/yogawithlisa.instagram-poster/main/images/ig11.jpg,quote,11,,0,TRUE,,,,
2025-11-11,https://raw.githubusercontent.com/yogawithlisaai/yogawithlisa.instagram-poster/main/images/ig12.jpg,city,12,,0,TRUE,,,,
2025-11-12,https://raw.githubusercontent.com/yogawithlisaai/yogawithlisa.instagram-poster/main/images/ig13.jpg,city,13,,0,TRUE,,,,
2025-11-13,https://raw.githubusercontent.com/yogawithlisaai/yogawithlisa.instagram-poster/main/images/ig14.jpg,pose,14,,0,TRUE,,,,
2025-11-14,https://raw.githubusercontent.com/yogawithlisaai/yogawithlisa.instagram-poster/main/images/ig15.jpg,quote,15,,0,TRUE,,,,
2025-11-15,https://raw.githubusercontent.com/yogawithlisaai/yogawithlisa.instagram-poster/main/images/ig16.jpg,quote,16,,0,TRUE,,,,
2025-11-16,https://raw.githubusercontent.com/yogawithlisaai/yogawithlisa.instagram-poster/main/images/ig17.jpg,city,17,,0,TRUE,,,,
2025-11-17,https://raw.githubusercontent.com/yogawithlisaai/yogawithlisa.instagram-poster/main/images/ig18.jpg,pose,18,,0,TRUE,,,,
2025-11-18,https://raw.githubusercontent.com/yogawithlisaai/yogawithlisa.instagram-poster/main/images/ig19.jpg,pose,19,,0,TRUE,,,,
2025-11-19,https://raw.githubusercontent.com/yogawithlisaai/yogawithlisa.instagram-poster/main/images/ig20.jpg,quote,20,,0,TRUE,,,,
2025-11-20,https://raw.githubusercontent.com/yogawithlisaai/yogawithlisa.instagram-poster/main/images/ig21.jpg,city,21,,0,TRUE,,,,
2025-11-21,https://raw.githubusercontent.com/yogawithlisaai/yogawithlisa.instagram-poster/main/images/ig22.jpg,city,22,,0,TRUE,,,,
2025-11-22,https://raw.githubusercontent.com/yogawithlisaai/yogawithlisa.instagram-poster/main/images/ig23.jpg,pose,23,,0,TRUE,,,,
2025-11-23,https://raw.githubusercontent.com/yogawithlisaai/yogawithlisa.instagram-poster/main/images/ig24.jpg,quote,24,,0,TRUE,,,,
2025-11-24,https://raw.githubusercontent.com/yogawithlisaai/yogawithlisa.instagram-poster/main/images/ig25.jpg,quote,25,,0,TRUE,,,,
2025-11-25,https://raw.githubusercontent.com/yogawithlisaai/yogawithlisa.instagram-poster/main/images/ig26.jpg,city,26,,0,TRUE,,,,
2025-11-26,https://raw.githubusercontent.com/yogawithlisaai/yogawithlisa.instagram-poster/main/images/ig27.jpg,pose,27,,0,TRUE,,,,
2025-11-27,https://raw.githubusercontent.com/yogawithlisaai/yogawithlisa.instagram-poster/main/images/ig28.jpg,pose,28,,0,TRUE,,,,
2025-11-28,https://raw.githubusercontent.com/yogawithlisaai/yogawithlisa.instagram-poster/main/images/ig29.jpg,quote,29,,0,TRUE,,,,
2025-11-29,https://raw.githubusercontent.com/yogawithlisaai/yogawithlisa.instagram-poster/main/images/ig30.jpg,city,30,,0,TRUE,,,,
2025-11-30,https://raw.githubusercontent.com/yogawithlisaai/yogawithlisa.instagram-poster/main/images/ig31.jpg,city,31,,0,TRUE,,,,
2025-12-01,https://raw.githubusercontent.com/yogawithlisaai/yogawithlisa.instagram-poster/main/images/ig32.jpg,pose,32,,0,TRUE,,,,
2025-12-02,https://raw.githubusercontent.com/yogawithlisaai/yogawithlisa.instagram-poster/main/images/ig33.jpg,quote,33,,0,TRUE,,,,
2025-12-03,https://raw.githubusercontent.com/yogawithlisaai/yogawithlisa.instagram-poster/main/images/ig34.jpg,quote,34,,0,TRUE,,,,
2025-12-04,https://raw.githubusercontent.com/yogawithlisaai/yogawithlisa.instagram-poster/main/images/ig35.jpg,city,35,,0,TRUE,,,,
2025-12-05,https://raw.githubusercontent.com/yogawithlisaai/yogawithlisa.instagram-poster/main/images/ig36.jpg,pose,36,,0,TRUE,,,,
2025-12-06,https://raw.githubusercontent.com/yogawithlisaai/yogawithlisa.instagram-poster/main/images/ig37.jpg,pose,37,,0,TRUE,,,,
2025-12-07,https://raw.githubusercontent.com/yogawithlisaai/yogawithlisa.instagram-poster/main/images/ig38.jpg,quote,38,,0,TRUE,,,,
